index_dec,index_hex,group,char,source
353,0161,unconfirmed,B,ocr
354,0162,confirmed,他,token_map
355,0163,unconfirmed,こ,ocr
356,0164,unconfirmed,ー,ocr
357,0165,unconfirmed,本,ocr
358,0166,unconfirmed,B,ocr
359,0167,unconfirmed,=,ocr
360,0168,unconfirmed,Y,ocr
361,0169,unconfirmed,a,ocr
362,016A,unconfirmed,o,ocr
363,016B,unconfirmed,ヽ,ocr
364,016C,unconfirmed,o,ocr
365,016D,unconfirmed,i,ocr
366,016E,unconfirmed,f,ocr
367,016F,unconfirmed,し,ocr
368,0170,unconfirmed,B,ocr
369,0171,unconfirmed,p,ocr
370,0172,confirmed,去,token_map
371,0173,confirmed,i,manual_pair
372,0174,unconfirmed,B,ocr
373,0175,unconfirmed,4,ocr
374,0176,confirmed,状,token_map
375,0177,unconfirmed,H,ocr
376,0178,unconfirmed,{,ocr
377,0179,unconfirmed,{,ocr
378,017A,confirmed,上,token_map
379,017B,unconfirmed,W,ocr
380,017C,unconfirmed,s,ocr
381,017D,unconfirmed,日,ocr
382,017E,unconfirmed,4,ocr
383,017F,unconfirmed,;,ocr
384,0180,confirmed,開,token_map
385,0181,unconfirmed,Q,ocr
386,0182,symbol,,none
387,0183,unconfirmed,3,ocr
388,0184,unconfirmed,ヽ,ocr
389,0185,unconfirmed,O,ocr
390,0186,unconfirmed,ミ,ocr
391,0187,unconfirmed,d,ocr
392,0188,unconfirmed,=,ocr
393,0189,unconfirmed,a,ocr
394,018A,unconfirmed,s,ocr
395,018B,confirmed,化,token_map
396,018C,unconfirmed,x,ocr
397,018D,unconfirmed,i,ocr
398,018E,confirmed,切,token_map
399,018F,confirmed,見,token_map
400,0190,unconfirmed,儲,ocr
401,0191,unconfirmed,R,ocr
402,0192,confirmed,表,token_map
403,0193,confirmed,名,token_map
404,0194,confirmed,前,token_map
405,0195,symbol,,none
406,0196,unconfirmed,古,ocr
407,0197,unconfirmed,J,ocr
408,0198,unconfirmed,t,ocr
409,0199,unconfirmed,=,ocr
410,019A,unconfirmed,田,ocr
411,019B,unconfirmed,葉,ocr
412,019C,unconfirmed,+,ocr
413,019D,confirmed,水,token_map
414,019E,unconfirmed,o,ocr
415,019F,unconfirmed,b,ocr
416,01A0,unconfirmed,ビ,ocr
417,01A1,unconfirmed,=,ocr
418,01A2,unconfirmed,K,ocr
419,01A3,unconfirmed,p,ocr
420,01A4,unconfirmed,に,ocr
421,01A5,confirmed,川,token_map
422,01A6,unconfirmed,n,ocr
423,01A7,unconfirmed,7,ocr
424,01A8,confirmed,小,token_map
425,01A9,unconfirmed,5,ocr
426,01AA,unconfirmed,O,ocr
427,01AB,unconfirmed,*,ocr
428,01AC,confirmed,戸,token_map
429,01AD,unconfirmed,m,ocr
430,01AE,unconfirmed,ニ,ocr
431,01AF,unconfirmed,本,ocr
432,01B0,confirmed,沢,token_map
433,01B1,unconfirmed,=,ocr
434,01B2,unconfirmed,e,ocr
435,01B3,unconfirmed,B,ocr
436,01B4,unconfirmed,a,ocr
437,01B5,unconfirmed,w,ocr
438,01B6,unconfirmed,A,ocr
439,01B7,confirmed,千,token_map
440,01B8,unconfirmed,Z,ocr
441,01B9,confirmed,井,token_map
442,01BA,unconfirmed,F,ocr
443,01BB,unconfirmed,f,ocr
444,01BC,unconfirmed,s,ocr
445,01BD,unconfirmed,コ,ocr
446,01BE,unconfirmed,$,ocr
447,01BF,unconfirmed,=,ocr
448,01C0,unconfirmed,N,ocr
449,01C1,confirmed,谷,token_map
450,01C2,unconfirmed,R,ocr
451,01C3,unconfirmed,h,ocr
452,01C4,unconfirmed,の,ocr
453,01C5,unconfirmed,I,ocr
454,01C6,unconfirmed,>,ocr
455,01C7,unconfirmed,|,ocr
456,01C8,unconfirmed,t,ocr
457,01C9,unconfirmed,B,ocr
458,01CA,unconfirmed,B,ocr
459,01CB,unconfirmed,B,ocr
460,01CC,unconfirmed,f,ocr
461,01CD,unconfirmed,L,ocr
462,01CE,unconfirmed,o,ocr
463,01CF,unconfirmed,=,ocr
464,01D0,unconfirmed,:,ocr
465,01D1,confirmed,児,token_map
466,01D2,unconfirmed,V,ocr
467,01D3,unconfirmed,辺,ocr
468,01D4,unconfirmed,4,ocr
469,01D5,unconfirmed,‘,ocr
470,01D6,confirmed,久,token_map
471,01D7,unconfirmed,p,ocr
472,01D8,unconfirmed,x,ocr
473,01D9,unconfirmed,本,ocr
474,01DA,confirmed,夫,token_map
475,01DB,unconfirmed,ご,ocr
476,01DC,unconfirmed,1,ocr
477,01DD,unconfirmed,(,ocr
478,01DE,confirmed,由,token_map
479,01DF,confirmed,西,token_map
480,01E0,unconfirmed,1,ocr
481,01E1,unconfirmed,{,ocr
482,01E2,confirmed,坂,token_map
483,01E3,confirmed,本,token_map
484,01E4,unconfirmed,2,ocr
485,01E5,unconfirmed,3,ocr
486,01E6,unconfirmed,t,ocr
487,01E7,confirmed,吉,token_map
488,01E8,unconfirmed,=,ocr
489,01E9,unconfirmed,L,ocr
490,01EA,unconfirmed,f,ocr
491,01EB,unconfirmed,i,ocr
492,01EC,confirmed,史,token_map
493,01ED,unconfirmed,f,ocr
494,01EE,unconfirmed,H,ocr
495,01EF,unconfirmed,=,ocr
496,01F0,confirmed,天,token_map
497,01F1,confirmed,新,token_map
498,01F2,unconfirmed,=,ocr
499,01F3,confirmed,仔,token_map
500,01F4,unconfirmed,F,ocr
501,01F5,unconfirmed,a,ocr
502,01F6,confirmed,空,token_map
503,01F7,confirmed,容,token_map
504,01F8,confirmed,+,manual_pair
505,01F9,unconfirmed,i,ocr
506,01FA,confirmed,込,token_map
507,01FB,unconfirmed,=,ocr
508,01FC,unconfirmed,S,ocr
509,01FD,unconfirmed,I,ocr
510,01FE,unconfirmed,っ,ocr
511,01FF,unconfirmed,{,ocr
512,0200,unconfirmed,3,ocr
513,0201,symbol,,none
514,0202,symbol,,none
515,0203,confirmed,項,token_map
516,0204,unconfirmed,z,ocr
517,0205,unconfirmed,=,ocr
518,0206,unconfirmed,p,ocr
519,0207,unconfirmed,こ,ocr
520,0208,unconfirmed,f,ocr
521,0209,unconfirmed,2,ocr
522,020A,unconfirmed,n,ocr
523,020B,unconfirmed,i,ocr
524,020C,unconfirmed,V,ocr
525,020D,unconfirmed,=,ocr
526,020E,confirmed,元,token_map
527,020F,confirmed,帥,token_map
528,0210,symbol,,none
529,0211,confirmed,将,token_map
530,0212,confirmed,車,token_map
531,0213,unconfirmed,果,ocr
532,0214,unconfirmed,三,ocr
533,0215,unconfirmed,T,ocr
534,0216,confirmed,六,token_map
535,0217,unconfirmed,|,ocr
536,0218,unconfirmed,a,ocr
537,0219,unconfirmed,O,ocr
538,021A,unconfirmed,、,ocr
539,021B,unconfirmed,B,ocr
540,021C,unconfirmed,=,ocr
541,021D,unconfirmed,=,ocr
542,021E,confirmed,相,token_map
543,021F,unconfirmed,品,ocr
544,0220,confirmed,女,token_map
545,0221,unconfirmed,+,ocr
546,0222,unconfirmed,t,ocr
547,0223,unconfirmed,‘,ocr
548,0224,unconfirmed,7,ocr
549,0225,unconfirmed,e,ocr
550,0226,unconfirmed,a,ocr
551,0227,unconfirmed,1,ocr
552,0228,unconfirmed,A,ocr
553,0229,confirmed,長,token_map
554,022A,unconfirmed,き,ocr
555,022B,confirmed,親,token_map
556,022C,confirmed,村,token_map
557,022D,unconfirmed,{,ocr
558,022E,unconfirmed,B,ocr
559,022F,unconfirmed,L,ocr
560,0230,unconfirmed,a,ocr
561,0231,unconfirmed,A,ocr
562,0232,unconfirmed,A,ocr
563,0233,unconfirmed,i,ocr
564,0234,unconfirmed,I,ocr
565,0235,unconfirmed,=,ocr
566,0236,unconfirmed,f,ocr
567,0237,unconfirmed,a,ocr
568,0238,unconfirmed,E,ocr
569,0239,unconfirmed,回,ocr
570,023A,unconfirmed,回,ocr
571,023B,unconfirmed,a,ocr
572,023C,unconfirmed,r,ocr
573,023D,unconfirmed,w,ocr
574,023E,unconfirmed,2,ocr
575,023F,unconfirmed,=,ocr
576,0240,unconfirmed,1,ocr
577,0241,unconfirmed,F,ocr
578,0242,confirmed,衛,token_map
579,0243,unconfirmed,m,ocr
580,0244,confirmed,民,token_map
581,0245,unconfirmed,+,ocr
582,0246,unconfirmed,=,ocr
583,0247,unconfirmed,P,ocr
584,0248,unconfirmed,z,ocr
585,0249,confirmed,技,token_map
586,024A,confirmed,店,token_map
587,024B,unconfirmed,三,ocr
588,024C,unconfirmed,i,ocr
589,024D,unconfirmed,—,ocr
590,024E,unconfirmed,m,ocr
591,024F,unconfirmed,携,ocr
592,0250,unconfirmed,=,ocr
593,0251,unconfirmed,b,ocr
594,0252,unconfirmed,=,ocr
595,0253,unconfirmed,ニ,ocr
596,0254,unconfirmed,5,ocr
597,0255,confirmed,問,token_map
598,0256,confirmed,単,token_map
599,0257,unconfirmed,が,ocr
600,0258,confirmed,片,token_map
601,0259,unconfirmed,f,ocr
602,025A,unconfirmed,款,ocr
603,025B,unconfirmed,a,ocr
604,025C,confirmed,受,token_map
605,025D,confirmed,流,token_map
606,025E,confirmed,特,token_map
607,025F,unconfirmed,W,ocr
608,0260,unconfirmed,7,ocr
609,0261,unconfirmed,e,ocr
610,0262,unconfirmed,{,ocr
611,0263,unconfirmed,は,ocr
612,0264,unconfirmed,大,ocr
613,0265,unconfirmed,j,ocr
614,0266,unconfirmed,O,ocr
615,0267,unconfirmed,3,ocr
616,0268,unconfirmed,I,ocr
617,0269,unconfirmed,7,ocr
618,026A,confirmed,波,token_map
619,026B,unconfirmed,#,ocr
620,026C,unconfirmed,:,ocr
621,026D,unconfirmed,h,ocr
622,026E,unconfirmed,B,ocr
623,026F,unconfirmed,A,ocr
624,0270,unconfirmed,=,ocr
625,0271,unconfirmed,ロ,ocr
626,0272,unconfirmed,車,ocr
627,0273,unconfirmed,F,ocr
628,0274,confirmed,素,token_map
629,0275,unconfirmed,=,ocr
630,0276,unconfirmed,レ,ocr
631,0277,unconfirmed,+,ocr
632,0278,unconfirmed,[,ocr
633,0279,unconfirmed,&,ocr
634,027A,unconfirmed,年,ocr
635,027B,unconfirmed,H,ocr
636,027C,unconfirmed,S,ocr
637,027D,confirmed,倒,token_map
638,027E,unconfirmed,A,ocr
639,027F,unconfirmed,a,ocr
640,0280,unconfirmed,{,ocr
641,0281,unconfirmed,古,ocr
642,0282,unconfirmed,F,ocr
643,0283,unconfirmed,j,ocr
644,0284,unconfirmed,B,ocr
645,0285,unconfirmed,目,ocr
646,0286,unconfirmed,ル,ocr
647,0287,unconfirmed,n,ocr
648,0288,confirmed,ら,manual_pair
649,0289,unconfirmed,I,ocr
650,028A,unconfirmed,i,ocr
651,028B,unconfirmed,9,ocr
652,028C,unconfirmed,N,ocr
653,028D,unconfirmed,N,ocr
654,028E,unconfirmed,が,ocr
655,028F,unconfirmed,1,ocr
656,0290,unconfirmed,よ,ocr
657,0291,unconfirmed,初,ocr
658,0292,unconfirmed,i,ocr
659,0293,unconfirmed,a,ocr
660,0294,unconfirmed,3,ocr
661,0295,unconfirmed,c,ocr
662,0296,confirmed,付,token_map
663,0297,unconfirmed,2,ocr
664,0298,unconfirmed,B,ocr
665,0299,confirmed,東,token_map
666,029A,unconfirmed,y,ocr
667,029B,unconfirmed,a,ocr
668,029C,unconfirmed,6,ocr
669,029D,confirmed,水,token_map
670,029E,confirmed,探,token_map
671,029F,unconfirmed,(,ocr
672,02A0,unconfirmed,内,ocr
673,02A1,unconfirmed,宙,ocr
674,02A2,unconfirmed,E,ocr
675,02A3,unconfirmed,m,ocr
676,02A4,unconfirmed,|,ocr
677,02A5,unconfirmed,O,ocr
678,02A6,unconfirmed,x,ocr
679,02A7,unconfirmed,ば,ocr
680,02A8,unconfirmed,4,ocr
681,02A9,unconfirmed,E,ocr
682,02AA,unconfirmed,に,ocr
683,02AB,unconfirmed,a,ocr
684,02AC,unconfirmed,@,ocr
685,02AD,unconfirmed,=,ocr
686,02AE,unconfirmed,x,ocr
687,02AF,unconfirmed,=,ocr
688,02B0,unconfirmed,株,ocr
689,02B1,unconfirmed,E,ocr
690,02B2,unconfirmed,m,ocr
691,02B3,unconfirmed,L,ocr
692,02B4,confirmed,性,token_map
693,02B5,confirmed,古,token_map
694,02B6,confirmed,代,token_map
695,02B7,confirmed,p,manual_pair
696,02B8,unconfirmed,O,ocr
697,02B9,unconfirmed,5,ocr
698,02BA,unconfirmed,U,ocr
699,02BB,confirmed,日,token_map
700,02BC,unconfirmed,池,ocr
701,02BD,unconfirmed,i,ocr
702,02BE,unconfirmed,=,ocr
703,02BF,unconfirmed,で,ocr
704,02C0,confirmed,物,token_map
705,02C1,confirmed,支,token_map
706,02C2,unconfirmed,:,ocr
707,02C3,unconfirmed,n,ocr
708,02C4,unconfirmed,>,ocr
709,02C5,unconfirmed,F,ocr
710,02C6,unconfirmed,A,ocr
711,02C7,unconfirmed,A,ocr
712,02C8,unconfirmed,コ,ocr
713,02C9,unconfirmed,の,ocr
714,02CA,unconfirmed,本,ocr
715,02CB,unconfirmed,目,ocr
716,02CC,unconfirmed,i,ocr
717,02CD,unconfirmed,I,ocr
718,02CE,unconfirmed,i,ocr
719,02CF,unconfirmed,A,ocr
720,02D0,unconfirmed,ノ,ocr
721,02D1,unconfirmed,A,ocr
722,02D2,unconfirmed,5,ocr
723,02D3,unconfirmed,A,ocr
724,02D4,unconfirmed,E,ocr
725,02D5,confirmed,!,manual_pair
726,02D6,unconfirmed,3,ocr
727,02D7,unconfirmed,1,ocr
728,02D8,unconfirmed,E,ocr
729,02D9,unconfirmed,=,ocr
730,02DA,confirmed,今,token_map
731,02DB,confirmed,木,token_map
732,02DC,unconfirmed,L,ocr
733,02DD,unconfirmed,F,ocr
734,02DE,unconfirmed,3,ocr
735,02DF,confirmed,球,token_map
736,02E0,unconfirmed,3,ocr
737,02E1,unconfirmed,a,ocr
738,02E2,unconfirmed,w,ocr
739,02E3,unconfirmed,B,ocr
740,02E4,unconfirmed,3,ocr
741,02E5,unconfirmed,c,ocr
742,02E6,unconfirmed,|,ocr
743,02E7,unconfirmed,=,ocr
744,02E8,unconfirmed,1,ocr
745,02E9,unconfirmed,A,ocr
746,02EA,unconfirmed,全,ocr
747,02EB,unconfirmed,P,ocr
748,02EC,confirmed,来,token_map
749,02ED,confirmed,投,token_map
750,02EE,unconfirmed,+,ocr
751,02EF,unconfirmed,3,ocr
752,02F0,unconfirmed,o,ocr
753,02F1,unconfirmed,4,ocr
754,02F2,unconfirmed,乗,ocr
755,02F3,unconfirmed,W,ocr
756,02F4,unconfirmed,A,ocr
757,02F5,unconfirmed,三,ocr
758,02F6,unconfirmed,式,ocr
759,02F7,unconfirmed,ク,ocr
760,02F8,unconfirmed,U,ocr
761,02F9,unconfirmed,O,ocr
